Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Score_D,Score_G,PSNR,SSIM
1,0.24854659313855423,0.5656885484631142,0.9807076779278842,0.15066941845039547,0.015892061988030684,0.7785083331905907,0.019292321847609043,4.942632191955623,0.07740151223621358
2,0.002812225739752248,0.5747095077955929,0.9992834003271195,0.15013561785160218,0.01588389765475025,0.9981177279362274,0.0007165981315072071,4.986614224604877,0.08196267113089561
3,0.00026513808229115273,0.5753479859923927,0.9998852107084077,0.15081076085019526,0.015914473753038172,0.9998675455111893,0.00011478319876647058,4.952996828016701,0.07840548200867914
4,2.0371505061576053e-05,0.5753727975977819,0.9999912334292123,0.15075436794599548,0.015916303252997265,0.9999884407172043,8.764174191175784e-06,4.978254149043644,0.08067719332063297
5,0.9649698620162542,0.5069145702731256,0.9999844012391945,0.013844740092830468,0.0031332297386664353,0.05124719538184564,1.5599023743551055e-05,20.538681624723733,0.5380753021235246
6,1.0,0.5026344500474472,0.9999999990258689,0.005268903482473238,0.0027437317232668888,4.1191346233055174e-10,6.428669242738813e-10,20.41947867501208,0.5300900289578417
7,1.0,0.5026599320376614,0.9999999990258689,0.005319871750410049,0.002705812682773427,6.000601691145542e-10,1.0183810196100486e-09,20.2733461164072,0.5261411234798791
8,1.0,0.502568661070698,1.0,0.0051373157634060215,0.002731847697849917,5.784062554174473e-11,1.3344166655327865e-10,20.31169802780404,0.5307600008768018
9,0.9999999990258689,0.5026314854013055,1.0,0.00526297167685564,0.002713020677859985,1.3713126425568114e-09,4.501635785536659e-10,20.149932970012575,0.5156921075353064
10,1.0000000038965242,0.502095310875539,0.9999999951293447,0.004190635571562598,0.0029033593575644237,1.3402499567421505e-10,5.626250700232886e-09,20.52122545492256,0.6139226317655092
11,1.0000001305335633,0.5020188523020759,0.9999998665440436,0.0040378348290182045,0.0033925986307481947,2.634428030405163e-09,1.3366498946263837e-07,19.69094926854066,0.6107469718575976
12,1.0000000019482622,0.5019648604787529,0.9999999961034757,0.0039297245786286536,0.0033490521813323293,1.3357336881923993e-10,4.482329422785749e-09,21.242881431207138,0.6276195563033036
13,1.0000001071544176,0.5020117085727657,0.9999998947938445,0.0040235220815175885,0.0033662578462507952,4.0202364087711167e-10,1.0663439758769406e-07,20.73498463620137,0.6158885397796352
14,1.0000000448100292,0.5020082515642519,0.9999999493451844,0.0040165557375270965,0.003370870463407396,5.012717525248746e-10,5.1086333247465065e-08,20.82073336129326,0.6129887244317322
15,1.0000000077930487,0.5015963241686251,0.9999999892845582,0.003192654396316933,0.003425391416129132,1.5161166334196484e-09,1.0667532719046884e-08,23.17790817583539,0.6785254916137232
16,1.0,0.5013616524020303,0.9999999990258689,0.0027233076089682997,0.004087718256936618,9.382117619190385e-11,8.708455981630168e-10,22.9428837601178,0.6808978662081843
17,1.0,0.5013609154718768,0.9999999990258689,0.002721836750250047,0.004091123425553004,3.499068390357005e-10,1.8749899009626777e-09,23.21695050394713,0.6867127903585155
18,1.0,0.5013513799463765,0.9999999980517379,0.002702760804573928,0.0040988073055465936,1.0846072642612063e-09,2.1648362583462236e-09,22.71565815428655,0.6876389981563121
19,1.0000000019482622,0.5013438634292828,0.9999999980517379,0.0026877290477445377,0.0041010945724310075,3.343781911752835e-10,2.7156619648599154e-09,22.89286157014581,0.6904956608636609
20,1.0000000136378349,0.5013069451403204,0.9999999873362961,0.002613900957792708,0.0038288516794884077,7.729544761334588e-10,1.2926590341016995e-08,23.882707594349107,0.7398009983565518
21,1.0,0.5011500834931636,1.0,0.002300160877792825,0.00462144563084923,1.9841828028895175e-10,1.8789425649827386e-10,23.795690436222607,0.7285009889423099
22,1.0,0.5011507406663359,0.9999999990258689,0.0023014879867765555,0.004620187044470924,7.754078446696261e-10,1.3419618735761535e-09,23.510631195018206,0.7171521523507569
23,1.0000000019482622,0.5011511388424102,0.9999999970776068,0.002302281450778931,0.004608803052470407,1.1385820749346503e-09,3.067458320885356e-09,23.533397826658344,0.7232787243741327
24,1.000000000974131,0.5011536475952117,0.9999999980517379,0.0023072911388372984,0.004589260137231832,1.3609676334045107e-09,2.0780365064475314e-09,23.73470934500908,0.7286728604318706
25,1.0,0.5011864265577298,1.0,0.002372859146700938,0.004126837177428515,1.700639485745182e-10,1.1013992628232186e-10,24.006691355911943,0.7075150617745132
26,1.0000000077930487,0.5011291604972349,0.9999999834397718,0.0022583383119325474,0.0038268303477697156,1.0112802456146955e-08,1.7131776260981742e-08,23.98933925441511,0.7016025057148235
27,1.0,0.5011191903266283,1.0,0.0022383790286743025,0.0038026406965289833,6.173551896989946e-10,7.698243293579624e-10,23.991444161013717,0.709614605459708
